gene_id,gene_mapping_id,gene_product,go_terms
1,0,P04217,GO:0002576!GO:0005576!GO:0031093!GO:0034774!GO:0043312!GO:1904813
2,1,P01023,GO:0001869!GO:0002020!GO:0002576!GO:0004867!GO:0005102!GO:0005515!GO:0005576!GO:0005829!GO:0007597!GO:0019838!GO:0019899!GO:0019959!GO:0019966!GO:0022617!GO:0031093!GO:0043120!GO:0048306!GO:0051056
9,2,P18440,GO:0004060!GO:0005829!GO:0006805
10,3,P11245,GO:0004060!GO:0005515!GO:0005829!GO:0006805
12,4,P01011,GO:0002576!GO:0003677!GO:0004867!GO:0005515!GO:0005576!GO:0005615!GO:0005634!GO:0031093!GO:0034774!GO:0035578!GO:0043312
14,5,Q13685,GO:0005515!GO:0005829!GO:0008201!GO:0009986!GO:0014909!GO:0015630!GO:0045171
15,6,Q16613,GO:0004059!GO:0005515!GO:0005829!GO:0006474!GO:0007623!GO:0030187!GO:0046219!GO:0048471!GO:0071320
16,7,P49588,GO:0000049!GO:0002161!GO:0004813!GO:0005737!GO:0005829!GO:0006418!GO:0006419!GO:0008033
18,8,P80404,GO:0003867!GO:0005739!GO:0005759!GO:0009448!GO:0030170!GO:0032144!GO:0042802
19,9,O95477,GO:0005102!GO:0005515!GO:0005524!GO:0005548!GO:0005768!GO:0005789!GO:0005886!GO:0005887!GO:0007040!GO:0007186!GO:0007189!GO:0008203!GO:0010745!GO:0010875!GO:0010887!GO:0015485!GO:0016197!GO:0019216!GO:0019905!GO:0030139!GO:0031210!GO:0031267!GO:0032367!GO:0032489!GO:0032611!GO:0033344!GO:0033700!GO:0034185!GO:0034186!GO:0034188!GO:0034380!GO:0034616!GO:0042632!GO:0043691!GO:0045121!GO:0045332!GO:0045335!GO:0046623!GO:0048471!GO:0051117!GO:0055091!GO:0060155!GO:0090107!GO:0090554!GO:0090556!GO:0097708!GO:0120020!GO:0140328
20,10,Q9BZC7,GO:0005524!GO:0005764!GO:0005768!GO:0005886!GO:0006357!GO:0010872!GO:0016021!GO:0016887!GO:0032383!GO:0032384!GO:0032805!GO:0042493!GO:0042632!GO:0042986!GO:0045540!GO:0046512!GO:0048545!GO:0061135!GO:0070723!GO:0071072!GO:0090155!GO:0090156!GO:0090370!GO:0099038!GO:0099040!GO:0150110!GO:1901873!GO:1902004!GO:1902993!GO:1905598!GO:1905601
22,11,O75027,GO:0005515!GO:0005524!GO:0005743!GO:0015232!GO:0042626!GO:0055085
23,12,Q8NE71,GO:0005515!GO:0005524!GO:0005635!GO:0005654!GO:0005737!GO:0005829!GO:0006412!GO:0006413!GO:0006954!GO:0008135!GO:0008494!GO:0042254!GO:0042788!GO:0043022!GO:0045727!GO:0055085
24,13,P78363,GO:0001523!GO:0005215!GO:0005524!GO:0005783!GO:0007601!GO:0007603!GO:0016020!GO:0042626!GO:0045332!GO:0055085!GO:0090555!GO:0097381!GO:0140327
